                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.1193,                 54.835,                  1.776,                      0,                      0,                      0,                      0,                 5.0243,                 10.854,                 1.8844,                 0.0955,                 0.0005,                 0.0005
                      1,                 3.5773,                 8.8984,                 1.4127,                      0,                      0,                      0,                      0,                 3.2924,                 5.8381,                 1.3338,               0.090089,              0.0010891,              0.0010891
                      2,                 3.1826,                 5.7394,                 1.3828,                      0,                      0,                      0,                      0,                 3.2319,                  5.724,                 1.1954,               0.084666,              0.0016663,              0.0016663
                      3,                 2.7042,                 5.2218,                  1.056,                      0,                      0,                      0,                      0,                 2.8387,                 5.5157,                 1.0149,               0.079232,              0.0022317,              0.0022317
                      4,                  2.854,                 4.6059,                 1.0528,                      0,                      0,                      0,                      0,                  2.874,                 5.4019,                0.99283,               0.073785,              0.0027852,              0.0027852
                      5,                    3.4,                 4.2372,                 0.9764,                      0,                      0,                      0,                      0,                 2.8097,                 5.0447,                0.98827,               0.068327,              0.0033267,              0.0033267
                      6,                 3.0109,                 3.1557,                 1.0297,                      0,                      0,                      0,                      0,                 2.6771,                 4.9234,                0.93143,               0.062856,              0.0038565,              0.0038565
                      7,                  2.786,                 2.4221,                 1.0195,                      1,                0.01163,                0.50581,                0.15174,                 3.3614,                  4.562,                 1.0436,               0.057374,              0.0043743,              0.0043743
                      8,                 2.9142,                 2.2551,                0.98968,                    0.5,                0.10465,                0.27616,                0.09698,                  2.821,                 4.2141,                0.95166,                0.05188,              0.0048802,              0.0048802
                      9,                 3.1796,                 2.3634,                 1.0114,                0.84211,                0.18605,                0.52543,                0.25458,                 2.5169,                 4.0373,                0.91805,               0.046374,              0.0053743,              0.0053743
                     10,                 2.5922,                 1.9327,                0.99268,                0.44828,                0.15116,                0.30409,                0.13223,                 2.8034,                 4.0122,                0.98366,               0.040857,              0.0058565,              0.0058565
                     11,                 2.8052,                 2.1674,                0.96782,                0.15217,                0.24419,                  0.171,                0.05896,                 2.8985,                 3.5979,                0.96309,               0.035327,              0.0063268,              0.0063268
                     12,                 3.8387,                 3.1377,                 1.1365,                0.23077,                0.06977,                0.12812,                0.06398,                 2.5149,                 4.0669,                0.94981,               0.029785,              0.0067852,              0.0067852
                     13,                  2.765,                  2.618,                 1.1523,                0.16129,                0.23256,                0.10656,                0.03366,                 2.8425,                 3.7941,                 1.0995,               0.024232,              0.0072318,              0.0072318
                     14,                 2.8119,                 2.2182,                 1.0042,                0.10511,                0.40698,                0.15744,                0.05468,                  2.788,                 3.2799,                 1.0124,               0.018666,              0.0076665,              0.0076665
